ID,Mean Bathy. Depth,Mean Retreat,Mean Fjord Width,Mean TF,Mean Subglacial Discharge,Mean Cross-sectional Area,Mean Undercutting Rate,dist,vel_max,H_mean,sslope_mean,S_mean,Type_EntireRecord
1,533,90.24,10.08,5.17999982833862,22.83,8.38,1.89999997615814,20000,9534.02246,1950.34146341463,0.0166435711051554,759.1875,3
2,501,37.07,5.05,3,7.14,3.46,0.930000007152557,20000,7888.78711,1154.72222222222,0.252068234459761,816.565217391304,3
3,471,30.37,5.35,6.25,7.16,3.15,2.44000005722046,20000,9068.81836,1192.78571428571,0.0263121575157514,471.058823529412,7
4,231,4.98,3.22,4.57000017166138,2.16,1.07,1.3400000333786,20000,9602.72754,820.875,0.0434382041155808,800.6,7
5,568,5.24,4.42,4.6100001335144,4,3.07,1.55999994277954,20000,4350.10938,1221.64285714286,0.0311866081848707,684.733333333333,3
6,302,-0.28,4.97,3.85999989509583,6.11,1.68,1.14999997615814,20000,3526.30859,1063.76470588235,0.0193853327273019,512.047619047619,6
8,393,7.89,5.23,2.23000001907349,6.44,2.47,0.649999976158142,20000,3614.41064,1541.72,0.0291278953187949,895.192307692308,10
10,144,28.03,3.99,5.8899998664856,1.59,1.12,1.54999995231628,20000,4931.3667,939.342105263158,0.0421528154722784,791.65,8
11,145,18.82,3.48,5.88000011444092,2.12,0.63,1.64999997615814,20000,3504.92993,1157.29787234043,0.0273132345088785,1049.12,8
12,219,19.26,3.7,2.6800000667572,2.05,1.02,0.709999978542328,20000,3834.6001,891.76,0.0425539309003487,618.296296296296,7
13,268,4.2,5.18,4.15999984741211,5.05,1.86,1.13999998569489,20000,3407.4248,836.8,0.0277323610149456,695.882352941176,7
14,267,4.03,5.49,4.40000009536743,1.9,1.93,1.25,20000,4220.94971,682.285714285714,0.0332389889231664,711.777777777778,7
15,369,9.56,2.35,5.69999980926514,2.47,1.12,2.02999997138977,20000,5763.72852,1044.25,0.0506654741936753,595.545454545455,3
16,553,16.57,3.98,4.15999984741211,2.01,3.16,1.19000005722046,20000,3114.19946,1347.36842105263,0.0247559477941304,592.095238095238,3
18,468,13.5,3.47,3.98000001907349,3.12,1.89,1.16999995708466,20000,3221.19116,1208.3,0.0303191230160335,719.136363636364,1
19,376,5.34,2.55,7.15000009536743,1.22,1.09,2.48000001907349,20000,4843.17627,728,0.0562400064263518,295.5,3
22,258,4.82,4.21,3.83999991416931,3.43,1.54,0.980000019073486,20000,2930.40723,1364.975,0.0189383349874521,1087.51219512195,8
23,280,8.39,2.1,4.48000001907349,1.49,0.7,1.45000004768372,20000,5366.44287,885.233333333333,0.0440954692847178,971.060606060606,2
